,Unnamed: 0,pokedex_number,name,german_name,japanese_name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
15,15,12,Butterfree,Smettbo,バタフリー (Butterfree),1,Normal,Butterfly Pokémon,2,Bug,Flying,1.1,32.0,2,Compound Eyes,,Tinted Lens,395.0,60.0,45.0,50.0,90.0,80.0,70.0,45.0,70.0,178.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
16,16,13,Weedle,Hornliu,ビードル (Beedle),1,Normal,Hairy Bug Pokémon,2,Bug,Poison,0.3,3.2,2,Shield Dust,,Run Away,195.0,40.0,35.0,30.0,20.0,20.0,50.0,255.0,70.0,39.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
17,17,14,Kakuna,Kokuna,コクーン (Cocoon),1,Normal,Cocoon Pokémon,2,Bug,Poison,0.6,10.0,1,Shed Skin,,,205.0,45.0,25.0,50.0,25.0,25.0,35.0,120.0,70.0,72.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
18,18,15,Beedrill,Bibor,スピアー (Spear),1,Normal,Poison Bee Pokémon,2,Bug,Poison,1.0,29.5,2,Swarm,,Sniper,395.0,65.0,90.0,40.0,45.0,80.0,75.0,45.0,70.0,178.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
20,20,16,Pidgey,Taubsi,ポッポ (Poppo),1,Normal,Tiny Bird Pokémon,2,Normal,Flying,0.3,1.8,3,Keen Eye,Tangled Feet,Big Pecks,251.0,40.0,45.0,40.0,35.0,35.0,56.0,255.0,70.0,50.0,Medium Slow,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
21,21,17,Pidgeotto,Tauboga,ピジョン (Pigeon),1,Normal,Bird Pokémon,2,Normal,Flying,1.1,30.0,3,Keen Eye,Tangled Feet,Big Pecks,349.0,63.0,60.0,55.0,50.0,50.0,71.0,120.0,70.0,122.0,Medium Slow,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
22,22,18,Pidgeot,Tauboss,ピジョット (Pigeot),1,Normal,Bird Pokémon,2,Normal,Flying,1.5,39.5,3,Keen Eye,Tangled Feet,Big Pecks,479.0,83.0,80.0,75.0,70.0,70.0,101.0,45.0,70.0,216.0,Medium Slow,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
24,24,19,Rattata,Rattfratz,コラッタ (Koratta),1,Normal,Mouse Pokémon,1,Normal,,0.3,3.5,3,Run Away,Guts,Hustle,253.0,30.0,56.0,35.0,25.0,35.0,72.0,255.0,70.0,51.0,Medium Fast,1,Field,,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
25,25,19,Alolan Rattata,Rattfratz,コラッタ (Koratta),1,Normal,Mouse Pokémon,2,Dark,Normal,0.3,3.8,3,Gluttony,Hustle,Thick Fat,253.0,30.0,56.0,35.0,25.0,35.0,72.0,255.0,70.0,51.0,Medium Fast,1,Field,,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
26,26,20,Raticate,Rattikarl,ラッタ (Ratta),1,Normal,Mouse Pokémon,1,Normal,,0.7,18.5,3,Run Away,Guts,Hustle,413.0,55.0,81.0,60.0,50.0,70.0,97.0,127.0,70.0,145.0,Medium Fast,1,Field,,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
27,27,20,Alolan Raticate,Rattikarl,ラッタ (Ratta),1,Normal,Mouse Pokémon,2,Dark,Normal,0.7,25.5,3,Gluttony,Hustle,Thick Fat,413.0,75.0,71.0,70.0,40.0,80.0,77.0,127.0,70.0,145.0,Medium Fast,1,Field,,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
28,28,21,Spearow,Habitak,オニスズメ (Onisuzume),1,Normal,Tiny Bird Pokémon,2,Normal,Flying,0.3,2.0,2,Keen Eye,,Sniper,262.0,40.0,60.0,30.0,31.0,31.0,70.0,255.0,70.0,52.0,Medium Fast,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
29,29,22,Fearow,Ibitak,オニドリル (Onidrill),1,Normal,Beak Pokémon,2,Normal,Flying,1.2,38.0,2,Keen Eye,,Sniper,442.0,65.0,90.0,65.0,61.0,61.0,100.0,90.0,70.0,155.0,Medium Fast,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
30,30,23,Ekans,Rettan,アーボ (Arbo),1,Normal,Snake Pokémon,1,Poison,,2.0,6.9,3,Intimidate,Shed Skin,Unnerve,288.0,35.0,60.0,44.0,40.0,54.0,55.0,255.0,70.0,58.0,Medium Fast,2,Dragon,Field,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
31,31,24,Arbok,Arbok,アーボック (Arbok),1,Normal,Cobra Pokémon,1,Poison,,3.5,65.0,3,Intimidate,Shed Skin,Unnerve,448.0,60.0,95.0,69.0,65.0,79.0,80.0,90.0,70.0,157.0,Medium Fast,2,Dragon,Field,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
32,32,25,Pikachu,Pikachu,ピカチュウ (Pikachu),1,Normal,Mouse Pokémon,1,Electric,,0.4,6.0,2,Static,,Lightning Rod,320.0,35.0,55.0,40.0,50.0,50.0,90.0,190.0,70.0,112.0,Medium Fast,2,Fairy,Field,50.0,10.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
33,33,25,Partner Pikachu,Pikachu,ピカチュウ (Pikachu),1,Normal,Mouse Pokémon,1,Electric,,0.4,6.0,1,,,Lightning Rod,430.0,45.0,80.0,50.0,75.0,60.0,120.0,190.0,70.0,112.0,Medium Fast,0,,,50.0,10.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
34,34,26,Raichu,Raichu,ライチュウ (Raichu),1,Normal,Mouse Pokémon,1,Electric,,0.8,30.0,2,Static,,Lightning Rod,485.0,60.0,90.0,55.0,90.0,80.0,110.0,75.0,70.0,218.0,Medium Fast,2,Fairy,Field,50.0,10.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
35,35,26,Alolan Raichu,Raichu,ライチュウ (Raichu),1,Normal,Mouse Pokémon,2,Electric,Psychic,0.7,21.0,1,Surge Surfer,,,485.0,60.0,85.0,50.0,95.0,85.0,110.0,75.0,70.0,218.0,Medium Fast,2,Fairy,Field,50.0,10.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
36,36,27,Sandshrew,Sandan,サンド (Sand),1,Normal,Mouse Pokémon,1,Ground,,0.6,12.0,2,Sand Veil,,Sand Rush,300.0,50.0,75.0,85.0,20.0,30.0,40.0,255.0,70.0,60.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
37,37,27,Alolan Sandshrew,Sandan,サンド (Sand),1,Normal,Mouse Pokémon,2,Ice,Steel,0.7,40.0,2,Snow Cloak,,Slush Rush,300.0,50.0,75.0,90.0,10.0,35.0,40.0,255.0,70.0,60.0,Medium Fast,1,Field,,50.0,20.0,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
38,38,28,Sandslash,Sandamer,サンドパン (Sandpan),1,Normal,Mouse Pokémon,1,Ground,,1.0,29.5,2,Sand Veil,,Sand Rush,450.0,75.0,100.0,110.0,45.0,55.0,65.0,90.0,70.0,158.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
39,39,28,Alolan Sandslash,Sandamer,サンドパン (Sandpan),1,Normal,Mouse Pokémon,2,Ice,Steel,1.2,55.0,2,Snow Cloak,,Slush Rush,450.0,75.0,100.0,120.0,25.0,65.0,65.0,90.0,70.0,158.0,Medium Fast,1,Field,,50.0,20.0,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
40,40,29,Nidoran♀,Nidoran♀,ニドラン♀ (Nidoran♀),1,Normal,Poison Pin Pokémon,1,Poison,,0.4,7.0,3,Poison Point,Rivalry,Hustle,275.0,55.0,47.0,52.0,40.0,40.0,41.0,235.0,70.0,55.0,Medium Slow,2,Field,Monster,0.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
41,41,30,Nidorina,Nidorina,ニドリーナ (Nidorina),1,Normal,Poison Pin Pokémon,1,Poison,,0.8,20.0,3,Poison Point,Rivalry,Hustle,365.0,70.0,62.0,67.0,55.0,55.0,56.0,120.0,70.0,128.0,Medium Slow,1,Undiscovered,,0.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
42,42,31,Nidoqueen,Nidoqueen,ニドクイン (Nidoqueen),1,Normal,Drill Pokémon,2,Poison,Ground,1.3,60.0,3,Poison Point,Rivalry,Sheer Force,505.0,90.0,92.0,87.0,75.0,85.0,76.0,45.0,70.0,227.0,Medium Slow,1,Undiscovered,,0.0,20.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
43,43,32,Nidoran♂,Nidoran♂,ニドラン♂ (Nidoran♂),1,Normal,Poison Pin Pokémon,1,Poison,,0.5,9.0,3,Poison Point,Rivalry,Hustle,273.0,46.0,57.0,40.0,40.0,40.0,50.0,235.0,70.0,55.0,Medium Slow,2,Field,Monster,100.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
44,44,33,Nidorino,Nidorino,ニドリーノ (Nidorino),1,Normal,Poison Pin Pokémon,1,Poison,,0.9,19.5,3,Poison Point,Rivalry,Hustle,365.0,61.0,72.0,57.0,55.0,55.0,65.0,120.0,70.0,128.0,Medium Slow,2,Field,Monster,100.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
45,45,34,Nidoking,Nidoking,ニドキング (Nidoking),1,Normal,Drill Pokémon,2,Poison,Ground,1.4,62.0,3,Poison Point,Rivalry,Sheer Force,505.0,81.0,102.0,77.0,85.0,75.0,85.0,45.0,70.0,227.0,Medium Slow,2,Field,Monster,100.0,20.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
46,46,35,Clefairy,Piepi,ピッピ (Pippi),1,Normal,Fairy Pokémon,1,Fairy,,0.6,7.5,3,Cute Charm,Magic Guard,Friend Guard,323.0,70.0,45.0,48.0,60.0,65.0,35.0,150.0,140.0,113.0,Fast,1,Fairy,,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
47,47,36,Clefable,Pixi,ピクシー (Pixy),1,Normal,Fairy Pokémon,1,Fairy,,1.3,40.0,3,Cute Charm,Magic Guard,Unaware,483.0,95.0,70.0,73.0,95.0,90.0,60.0,25.0,140.0,217.0,Fast,1,Fairy,,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
48,48,37,Vulpix,Vulpix,ロコン (Rokon),1,Normal,Fox Pokémon,1,Fire,,0.6,9.9,2,Flash Fire,,Drought,299.0,38.0,41.0,40.0,50.0,65.0,65.0,190.0,70.0,60.0,Medium Fast,1,Field,,25.0,20.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
49,49,37,Alolan Vulpix,Vulpix,ロコン (Rokon),1,Normal,Fox Pokémon,1,Ice,,0.6,9.9,2,Snow Cloak,,Snow Warning,299.0,38.0,41.0,40.0,50.0,65.0,65.0,190.0,70.0,60.0,Medium Fast,1,Field,,25.0,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
50,50,38,Ninetales,Vulnona,キュウコン (Kyukon),1,Normal,Fox Pokémon,1,Fire,,1.1,19.9,2,Flash Fire,,Drought,505.0,73.0,76.0,75.0,81.0,100.0,100.0,75.0,70.0,177.0,Medium Fast,1,Field,,25.0,20.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
51,51,38,Alolan Ninetales,Vulnona,キュウコン (Kyukon),1,Normal,Fox Pokémon,2,Ice,Fairy,1.1,19.9,2,Snow Cloak,,Snow Warning,505.0,73.0,67.0,75.0,81.0,100.0,109.0,75.0,70.0,177.0,Medium Fast,1,Field,,25.0,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
52,52,39,Jigglypuff,Pummeluff,プリン (Purin),1,Normal,Balloon Pokémon,2,Normal,Fairy,0.5,5.5,3,Cute Charm,Competitive,Friend Guard,270.0,115.0,45.0,20.0,45.0,25.0,20.0,170.0,70.0,95.0,Fast,1,Fairy,,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
53,53,40,Wigglytuff,Knuddeluff,プクリン (Pukurin),1,Normal,Balloon Pokémon,2,Normal,Fairy,1.0,12.0,3,Cute Charm,Competitive,Frisk,435.0,140.0,70.0,45.0,85.0,50.0,45.0,50.0,70.0,196.0,Fast,1,Fairy,,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
54,54,41,Zubat,Zubat,ズバット (Zubat),1,Normal,Bat Pokémon,2,Poison,Flying,0.8,7.5,2,Inner Focus,,Infiltrator,245.0,40.0,45.0,35.0,30.0,40.0,55.0,255.0,70.0,49.0,Medium Fast,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
55,55,42,Golbat,Golbat,ゴルバット (Golbat),1,Normal,Bat Pokémon,2,Poison,Flying,1.6,55.0,2,Inner Focus,,Infiltrator,455.0,75.0,80.0,70.0,65.0,75.0,90.0,90.0,70.0,159.0,Medium Fast,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
56,56,43,Oddish,Myrapla,ナゾノクサ (Nazonokusa),1,Normal,Weed Pokémon,2,Grass,Poison,0.5,5.4,2,Chlorophyll,,Run Away,320.0,45.0,50.0,55.0,75.0,65.0,30.0,255.0,70.0,64.0,Medium Slow,1,Grass,,50.0,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
57,57,44,Gloom,Duflor,クサイハナ (Kusaihana),1,Normal,Weed Pokémon,2,Grass,Poison,0.8,8.6,2,Chlorophyll,,Stench,395.0,60.0,65.0,70.0,85.0,75.0,40.0,120.0,70.0,138.0,Medium Slow,1,Grass,,50.0,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
58,58,45,Vileplume,Giflor,ラフレシア (Ruffresia),1,Normal,Flower Pokémon,2,Grass,Poison,1.2,18.6,2,Chlorophyll,,Effect Spore,490.0,75.0,80.0,85.0,110.0,90.0,50.0,45.0,70.0,221.0,Medium Slow,1,Grass,,50.0,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
59,59,46,Paras,Paras,パラス (Paras),1,Normal,Mushroom Pokémon,2,Bug,Grass,0.3,5.4,3,Effect Spore,Dry Skin,Damp,285.0,35.0,70.0,55.0,45.0,55.0,25.0,190.0,70.0,57.0,Medium Fast,2,Bug,Grass,50.0,20.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
60,60,47,Parasect,Parasek,パラセクト (Parasect),1,Normal,Mushroom Pokémon,2,Bug,Grass,1.0,29.5,3,Effect Spore,Dry Skin,Damp,405.0,60.0,95.0,80.0,60.0,80.0,30.0,75.0,70.0,142.0,Medium Fast,2,Bug,Grass,50.0,20.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
61,61,48,Venonat,Bluzuk,コンパン (Kongpang),1,Normal,Insect Pokémon,2,Bug,Poison,1.0,30.0,3,Compound Eyes,Tinted Lens,Run Away,305.0,60.0,55.0,50.0,40.0,55.0,45.0,190.0,70.0,61.0,Medium Fast,1,Bug,,50.0,20.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
62,62,49,Venomoth,Omot,モルフォン (Morphon),1,Normal,Poison Moth Pokémon,2,Bug,Poison,1.5,12.5,3,Shield Dust,Tinted Lens,Wonder Skin,450.0,70.0,65.0,60.0,90.0,75.0,90.0,75.0,70.0,158.0,Medium Fast,1,Bug,,50.0,20.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
63,63,50,Diglett,Digda,ディグダ (Digda),1,Normal,Mole Pokémon,1,Ground,,0.2,0.8,3,Sand Veil,Arena Trap,Sand Force,265.0,10.0,55.0,25.0,35.0,45.0,95.0,255.0,70.0,53.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
64,64,50,Alolan Diglett,Digda,ディグダ (Digda),1,Normal,Mole Pokémon,2,Ground,Steel,0.2,1.0,3,Sand Veil,Tangling Hair,Sand Force,265.0,10.0,55.0,30.0,35.0,45.0,90.0,255.0,70.0,53.0,Medium Fast,1,Field,,50.0,20.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
65,65,51,Dugtrio,Digdri,ダグトリオ (Dugtrio),1,Normal,Mole Pokémon,1,Ground,,0.7,33.3,3,Sand Veil,Arena Trap,Sand Force,425.0,35.0,100.0,50.0,50.0,70.0,120.0,50.0,70.0,149.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
66,66,51,Alolan Dugtrio,Digdri,ダグトリオ (Dugtrio),1,Normal,Mole Pokémon,2,Ground,Steel,0.7,66.6,3,Sand Veil,Tangling Hair,Sand Force,425.0,35.0,100.0,60.0,50.0,70.0,110.0,50.0,70.0,149.0,Medium Fast,1,Field,,50.0,20.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
67,67,52,Meowth,Mauzi,ニャース (Nyarth),1,Normal,Scratch Cat Pokémon,1,Normal,,0.4,4.2,3,Pickup,Technician,Unnerve,290.0,40.0,45.0,35.0,40.0,40.0,90.0,255.0,70.0,58.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
